"Lección","Semana","Día","Tema","Objetivo","Estado","Recurso principal"
"Día 01 - Biotipo vs condición","Semana 1","Lunes","Diagnóstico","Diferenciar biotipo de condición actual","Pendiente","Lecciones/Semana 01 - Diagnóstico facial.md"
"Día 02 - Ficha facial profesional","Semana 1","Martes","Diagnóstico","Crear entrevista breve antes de trabajar","Pendiente","Lecciones/Semana 01 - Diagnóstico facial.md"
"Día 03 - Observación de piel","Semana 1","Miércoles","Diagnóstico","Observar piel sin apresurar diagnóstico","Pendiente","Lecciones/Semana 01 - Diagnóstico facial.md"
"Día 04 - Diagnóstico guiado","Semana 1","Jueves","Diagnóstico","Aplicar método de 5 pasos","Pendiente","Lecciones/Semana 01 - Diagnóstico facial.md"
"Día 05 - Estrato córneo y barrera","Semana 2","Lunes","Teoría","Explicar barrera cutánea en palabras simples","Pendiente","Lecciones/Semana 02 - Barrera cutánea.md"
"Día 06 - pH, manto hidrolipídico y TEWL","Semana 2","Martes","Teoría","Conectar teoría con elección de productos","Pendiente","Lecciones/Semana 02 - Barrera cutánea.md"
"Día 07 - Piel sensible vs sensibilizada","Semana 2","Miércoles","Diagnóstico","Diferenciar tendencia de reacción temporal","Pendiente","Lecciones/Semana 02 - Barrera cutánea.md"
"Día 08 - Protocolo calmante","Semana 2","Jueves","Protocolos","Diseñar facial seguro cuando la piel pide pausa","Pendiente","Lecciones/Semana 02 - Barrera cutánea.md"
"Día 09 - Tipos de limpiadores","Semana 3","Lunes","Ingredientes","Elegir limpiador por piel y momento","Pendiente","Lecciones/Semana 03 - Limpieza profesional.md"
"Día 10 - Vapor","Semana 3","Martes","Aparatología","Usar vapor como herramienta no obligatoria","Pendiente","Lecciones/Semana 03 - Limpieza profesional.md"
"Día 11 - Extracción segura","Semana 3","Miércoles","Protocolos","Decidir extraer, no extraer o posponer","Pendiente","Lecciones/Semana 03 - Limpieza profesional.md"
"Día 12 - Protocolo de limpieza profunda","Semana 3","Jueves","Protocolos","Armar protocolo completo y seguro","Pendiente","Lecciones/Semana 03 - Limpieza profesional.md"
"Día 13 - Exfoliación física, química y enzimática","Semana 4","Lunes","Teoría","Diferenciar mecanismos de exfoliación","Pendiente","Lecciones/Semana 04 - Exfoliación.md"
"Día 14 - AHA, BHA, PHA y enzimas","Semana 4","Martes","Ingredientes","Asociar ingrediente con indicación estética","Pendiente","Lecciones/Semana 04 - Exfoliación.md"
"Día 15 - Microdermoabrasión","Semana 4","Miércoles","Aparatología","Entender indicaciones, límites y contraindicaciones","Pendiente","Lecciones/Semana 04 - Exfoliación.md"
"Día 16 - Elegir exfoliación según piel","Semana 4","Jueves","Casos","Aplicar decisión en casos","Pendiente","Lecciones/Semana 04 - Exfoliación.md"
"Día 17 - Agua en la piel","Semana 5","Lunes","Teoría","Entender deshidratación","Pendiente","Lecciones/Semana 05 - Hidratación y reparación.md"
"Día 18 - Humectante, emoliente y oclusivo","Semana 5","Martes","Ingredientes","Elegir hidratación completa","Pendiente","Lecciones/Semana 05 - Hidratación y reparación.md"
"Día 19 - Mascarillas hidratantes","Semana 5","Miércoles","Ingredientes","Seleccionar mascarilla por objetivo y tolerancia","Pendiente","Lecciones/Semana 05 - Hidratación y reparación.md"
"Día 20 - Protocolo para piel deshidratada","Semana 5","Jueves","Protocolos","Diseñar facial hidratante","Pendiente","Lecciones/Semana 05 - Hidratación y reparación.md"
"Día 21 - Sebo, comedón y brote","Semana 6","Lunes","Diagnóstico","Diferenciar comedón de lesión inflamatoria","Pendiente","Lecciones/Semana 06 - Acné piel grasa y comedones.md"
"Día 22 - Ingredientes para piel grasa","Semana 6","Martes","Ingredientes","Conocer activos útiles y límites","Pendiente","Lecciones/Semana 06 - Acné piel grasa y comedones.md"
"Día 23 - Alta frecuencia","Semana 6","Miércoles","Aparatología","Usar alta frecuencia con criterio","Pendiente","Lecciones/Semana 06 - Acné piel grasa y comedones.md"
"Día 24 - Protocolo purificante seguro","Semana 6","Jueves","Protocolos","Armar facial para piel grasa congestionada","Pendiente","Lecciones/Semana 06 - Acné piel grasa y comedones.md"
"Día 25 - Tipos de manchas","Semana 7","Lunes","Diagnóstico","Reconocer manchas cosméticas y señales de derivación","Pendiente","Lecciones/Semana 07 - Manchas y fotoprotección.md"
"Día 26 - Fototipos y PIH","Semana 7","Martes","Teoría","Entender riesgo de pigmentación postinflamatoria","Pendiente","Lecciones/Semana 07 - Manchas y fotoprotección.md"
"Día 27 - Despigmentantes cosméticos","Semana 7","Miércoles","Ingredientes","Conocer ingredientes de luminosidad","Pendiente","Lecciones/Semana 07 - Manchas y fotoprotección.md"
"Día 28 - Protocolo luminosidad","Semana 7","Jueves","Protocolos","Diseñar protocolo gradual y conservador","Pendiente","Lecciones/Semana 07 - Manchas y fotoprotección.md"
"Día 29 - Piel sensible vs rosácea sospechosa","Semana 8","Lunes","Diagnóstico","Reconocer señales de precaución","Pendiente","Lecciones/Semana 08 - Piel reactiva y contraindicaciones.md"
"Día 30 - Contraindicaciones generales","Semana 8","Martes","Seguridad","Memorizar contraindicaciones antes de técnica","Pendiente","Lecciones/Semana 08 - Piel reactiva y contraindicaciones.md"
"Día 31 - Ingredientes calmantes","Semana 8","Miércoles","Ingredientes","Elegir ingredientes de confort","Pendiente","Lecciones/Semana 08 - Piel reactiva y contraindicaciones.md"
"Día 32 - Semáforo de seguridad","Semana 8","Jueves","Seguridad","Tomar decisiones rápidas","Pendiente","Lecciones/Semana 08 - Piel reactiva y contraindicaciones.md"
"Día 33 - Envejecimiento intrínseco y extrínseco","Semana 9","Lunes","Teoría","Diferenciar factores internos y externos","Pendiente","Lecciones/Semana 09 - Envejecimiento y radiofrecuencia.md"
"Día 34 - Radiofrecuencia facial","Semana 9","Martes","Aparatología","Usar RF con criterio conservador","Pendiente","Lecciones/Semana 09 - Envejecimiento y radiofrecuencia.md"
"Día 35 - Ingredientes antiedad","Semana 9","Miércoles","Ingredientes","Conocer activos de apoyo cosmético","Pendiente","Lecciones/Semana 09 - Envejecimiento y radiofrecuencia.md"
"Día 36 - Protocolo reafirmante conservador","Semana 9","Jueves","Protocolos","Diseñar facial de firmeza sin exagerar","Pendiente","Lecciones/Semana 09 - Envejecimiento y radiofrecuencia.md"
"Día 37 - Alta frecuencia avanzada","Semana 10","Lunes","Aparatología","Reforzar uso, errores y límites","Pendiente","Lecciones/Semana 10 - Alta frecuencia y matriz de aparatos.md"
"Día 38 - Secuencia con vapor y extracción","Semana 10","Martes","Protocolos","Ordenar limpieza, vapor, extracción y calma","Pendiente","Lecciones/Semana 10 - Alta frecuencia y matriz de aparatos.md"
"Día 39 - Comparar aparatos disponibles","Semana 10","Miércoles","Aparatología","Crear matriz clara","Pendiente","Lecciones/Semana 10 - Alta frecuencia y matriz de aparatos.md"
"Día 40 - Elegir aparato según diagnóstico","Semana 10","Jueves","Casos","Resolver casos mixtos","Pendiente","Lecciones/Semana 10 - Alta frecuencia y matriz de aparatos.md"
"Día 41 - Protocolo hidratante completo","Semana 11","Lunes","Protocolos","Integrar diagnóstico e ingredientes hidratantes","Pendiente","Lecciones/Semana 11 - Protocolos completos.md"
"Día 42 - Protocolo piel grasa","Semana 11","Martes","Protocolos","Limpiar sin resecar","Pendiente","Lecciones/Semana 11 - Protocolos completos.md"
"Día 43 - Protocolo luminosidad/manchas","Semana 11","Miércoles","Protocolos","Tratar tono con paciencia y seguridad","Pendiente","Lecciones/Semana 11 - Protocolos completos.md"
"Día 44 - Protocolo piel sensible","Semana 11","Jueves","Protocolos","Tener protocolo seguro para piel reactiva","Pendiente","Lecciones/Semana 11 - Protocolos completos.md"
"Día 45 - Caso piel grasa congestionada","Semana 12","Lunes","Casos","Resolver caso completo","Pendiente","Lecciones/Semana 12 - Casos finales y evaluación.md"
"Día 46 - Caso piel deshidratada sensible","Semana 12","Martes","Casos","Priorizar barrera","Pendiente","Lecciones/Semana 12 - Casos finales y evaluación.md"
"Día 47 - Caso manchas y textura","Semana 12","Miércoles","Casos","Evitar PIH y diseñar plan gradual","Pendiente","Lecciones/Semana 12 - Casos finales y evaluación.md"
"Día 48 - Evaluación final","Semana 12","Jueves","Quiz","Cerrar con autoevaluación y plan de mejora","Pendiente","Lecciones/Semana 12 - Casos finales y evaluación.md"
